,key,date,value
0,dbms,1984,2
121,dbms,1985,0
122,dbms,1986,0
1,dbms,1987,4
2,dbms,1988,3
3,dbms,1989,4
123,dbms,1990,0
4,dbms,1991,2
5,dbms,1992,3
124,dbms,1993,0
125,dbms,1994,0
126,dbms,1995,0
127,dbms,1996,0
6,dbms,1997,1
7,dbms,1998,3
8,dbms,1999,2
128,dbms,2000,0
9,dbms,2001,8
10,dbms,2002,5
11,dbms,2003,3
129,dbms,2004,0
12,dbms,2005,5
13,dbms,2006,2
14,dbms,2007,3
15,dbms,2008,3
16,dbms,2009,1
17,dbms,2010,4
18,dbms,2011,2
19,dbms,2012,6
20,dbms,2013,3
21,dbms,2014,5
22,dbms,2015,4
23,dbms,2016,1
25,lucene,1984,0
26,lucene,1985,0
27,lucene,1986,0
28,lucene,1987,0
29,lucene,1988,0
30,lucene,1989,0
31,lucene,1990,0
32,lucene,1991,0
33,lucene,1992,0
34,lucene,1993,0
35,lucene,1994,0
36,lucene,1995,0
37,lucene,1996,0
38,lucene,1997,0
39,lucene,1998,0
40,lucene,1999,0
41,lucene,2000,0
42,lucene,2001,0
43,lucene,2002,0
24,lucene,2003,2
25,lucene,2004,3
26,lucene,2005,3
27,lucene,2006,6
28,lucene,2007,13
29,lucene,2008,8
30,lucene,2009,6
44,lucene,2010,0
31,lucene,2011,7
32,lucene,2012,8
33,lucene,2013,8
34,lucene,2014,7
35,lucene,2015,7
45,lucene,2016,0
82,microsoft,1984,0
83,microsoft,1985,0
84,microsoft,1986,0
85,microsoft,1987,0
86,microsoft,1988,0
87,microsoft,1989,0
88,microsoft,1990,0
89,microsoft,1991,0
90,microsoft,1992,0
91,microsoft,1993,0
92,microsoft,1994,0
93,microsoft,1995,0
94,microsoft,1996,0
95,microsoft,1997,0
36,microsoft,1998,3
37,microsoft,1999,5
38,microsoft,2000,1
39,microsoft,2001,1
96,microsoft,2002,0
97,microsoft,2003,0
40,microsoft,2004,4
41,microsoft,2005,7
98,microsoft,2006,0
42,microsoft,2007,3
43,microsoft,2008,5
44,microsoft,2009,8
45,microsoft,2010,5
46,microsoft,2011,2
47,microsoft,2012,9
48,microsoft,2013,4
49,microsoft,2014,5
50,microsoft,2015,5
51,microsoft,2016,4
55,query,1984,0
52,query,1985,1
56,query,1986,0
57,query,1987,0
58,query,1988,0
59,query,1989,0
60,query,1990,0
61,query,1991,0
62,query,1992,0
63,query,1993,0
64,query,1994,0
65,query,1995,0
53,query,1996,1
54,query,1997,1
66,query,1998,0
67,query,1999,0
68,query,2000,0
69,query,2001,0
70,query,2002,0
55,query,2003,1
56,query,2004,1
57,query,2005,2
71,query,2006,0
72,query,2007,0
73,query,2008,0
74,query,2009,0
75,query,2010,0
76,query,2011,0
77,query,2012,0
